family,plugin,timestamp,PID,PPID,ImageFileName,memory_image,
Dharma,windows.pslist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['Unsatisfied requirement plugins.PsList.kernel.symbol_table_name: ']
Dharma,windows.pslist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['A symbol table requirement was not fulfilled.  Please verify that:']
Dharma,windows.pslist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe associated translation layer requirement was fulfilled']
Dharma,windows.pslist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tYou have the correct symbol file for the requirement']
Dharma,windows.pslist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe symbol file is under the correct directory or zip file']
Dharma,windows.pslist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe symbol file is named appropriately or contains the correct banner']
Dharma,windows.psscan,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['Unsatisfied requirement plugins.PsScan.kernel.symbol_table_name: ']
Dharma,windows.psscan,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['A symbol table requirement was not fulfilled.  Please verify that:']
Dharma,windows.psscan,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe associated translation layer requirement was fulfilled']
Dharma,windows.psscan,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tYou have the correct symbol file for the requirement']
Dharma,windows.psscan,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe symbol file is under the correct directory or zip file']
Dharma,windows.psscan,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe symbol file is named appropriately or contains the correct banner']
Dharma,windows.cmdline,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['Unsatisfied requirement plugins.CmdLine.kernel.symbol_table_name: ']
Dharma,windows.cmdline,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['A symbol table requirement was not fulfilled.  Please verify that:']
Dharma,windows.cmdline,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe associated translation layer requirement was fulfilled']
Dharma,windows.cmdline,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tYou have the correct symbol file for the requirement']
Dharma,windows.cmdline,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe symbol file is under the correct directory or zip file']
Dharma,windows.cmdline,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe symbol file is named appropriately or contains the correct banner']
Dharma,windows.dlllist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['Unsatisfied requirement plugins.DllList.kernel.symbol_table_name: ']
Dharma,windows.dlllist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['A symbol table requirement was not fulfilled.  Please verify that:']
Dharma,windows.dlllist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe associated translation layer requirement was fulfilled']
Dharma,windows.dlllist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tYou have the correct symbol file for the requirement']
Dharma,windows.dlllist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe symbol file is under the correct directory or zip file']
Dharma,windows.dlllist,2026-03-30 13:28:53,,,,/mnt/d/Patrick/VMSnapshots/Dharma_20260330_034041/T015_rep05/Dharma_T015_rep05.vmem,['\tThe symbol file is named appropriately or contains the correct banner']
